"agd_tail","predicted","std.error","conf.low","conf.high","group"
0.132,1.78352288440803,0.0252920846978089,1.62245454828235,1.95894599033375,"1"
0.137,1.78497459177547,0.025347390665148,1.62340787654478,1.96097539073862,"1"
0.138,1.78526507459268,0.0253587118682253,1.62359696927564,1.96138346457392,"1"
0.14,1.7858461816318,0.0253816133615199,1.62397358665821,1.9622018016881,"1"
0.141,1.78613680586895,0.0253931934180729,1.62416111254314,1.96261206386681,"1"
0.143,1.78671819581657,0.0254166115618418,1.62453460182025,1.96343477268022,"1"
0.146,1.78759063453572,0.0254523820670529,1.62509093900994,1.96467428853331,"1"
0.147,1.78788154181869,0.0254644766315958,1.62527534818136,1.96508891221787,"1"
0.149,1.78846349799529,0.025488921625654,1.62564261559587,1.96592033367796,"1"
0.15,1.7887545469042,0.0255012718099024,1.62582547515837,1.96633713026751,"1"
0.152,1.78933678640141,0.0255262269350572,1.62618964932678,1.9671728921664,"1"
0.159,1.79137611307758,0.0256162316554507,1.62744810827496,1.97012076598264,"1"
0.161,1.79195920336187,0.0256427036043953,1.62780307637934,1.97096948274046,"1"
0.162,1.79225081946221,0.0256560649871802,1.62797979869545,1.97139491577366,"1"
0.165,1.79312595168778,0.0256966492013438,1.62850692733285,1.97267550566122,"1"
0.167,1.79370960985184,0.0257241207487025,1.6288558217738,1.97353280130504,"1"
0.168,1.79400150996095,0.025737980745918,1.62902951380242,1.97396251784055,"1"
0.17,1.79458545227162,0.0257659485191993,1.62937539118707,1.97482408496337,"1"
0.171,1.7948774944885,0.0257800560264594,1.62954757803901,1.97525593418913,"1"
0.173,1.79546172108367,0.0258085176064811,1.62989045183006,1.97612176053746,"1"
0.177,1.79663074313427,0.0258664232138329,1.63057022109291,1.97786190537265,"1"
0.179,1.7972155387124,0.0258958650443179,1.6309071288837,1.97873621261754,"1"
0.18,1.79750800766652,0.025910707732069,1.63107484129136,1.97917442246017,"1"
0.183,1.79838569928121,0.0259557212118273,1.6315750219999,1.9804932682413,"1"
0.186,1.79926381818559,0.0260014598671943,1.63207078460726,1.98181842314873,"1"
0.187,1.79955661947616,0.0260168665764797,1.6322350607442,1.98226154005961,"1"
0.189,1.80014236458704,0.0260479198780698,1.63256215076426,1.98314986735494,"1"
0.191,1.80072829978882,0.0260792920703431,1.63288729653622,1.98404098097545,"1"
0.192,1.80102133869302,0.0260950973915253,1.6330491423743,1.98448758078164,"1"
0.198,1.80278057084893,0.0261915893584243,1.63401009077358,1.98718173378611,"1"
0.199,1.80307394273517,0.0262079466680072,1.63416856884415,1.98763317783836,"1"
0.201,1.80366082931429,0.0262408959539993,1.63448409254793,1.98853813203825,"1"
0.205,1.80483517391468,0.0263077290638965,1.63510943396173,1.99035628296508,"1"
0.207,1.80542263205919,0.0263416105167213,1.63541926533663,1.99126946711435,"1"
0.208,1.8057164326195,0.0263586669465139,1.63557347419942,1.99172708359013,"1"
0.21,1.80630417675476,0.0263930104651285,1.63588048259971,1.9926443613602,"1"
0.212,1.80689211162762,0.0264276605288367,1.63618561769143,1.99356436021709,"1"
0.213,1.80718615060993,0.0264451001389658,1.6363374849268,1.99402537804321,"1"
0.217,1.80836278369175,0.0265156189101765,1.63694030559243,1.99587621979557,"1"
0.219,1.80895138663227,0.0265513323715492,1.63723893930093,1.99680569155455,"1"
0.22,1.80924575972945,0.0265693020888173,1.63738756509829,1.99727143729453,"1"
0.222,1.80983464921628,0.0266054667333891,1.63768343902813,1.99820494438822,"1"
0.226,1.81101300157614,0.026678692575359,1.63826970125682,2.0000799979167,"1"
0.228,1.81160246457284,0.0267157513153741,1.63856010392043,2.0010215310817,"1"
0.229,1.81189726780245,0.0267343916010273,1.63870462629502,2.00149329634862,"1"
