"AGD.tail","Density.DOB","life.repro.success"
0.820417263299261,160,13
0.0308842742181103,163,0
1.39212963666837,87,0
-0.297403352412776,87,5
-0.657349958112788,87,0
0.489016230542714,178,4
-0.479582736700739,163,9
-0.200516758538437,206,4
-0.318337374250475,214,5
-0.26911572578189,147,2
-0.190049747619588,147,0
-0.285379638431097,158,10
-0.300516758538437,158,0
-0.428804385169324,137,0
-0.791606450682418,147,19
-0.56911572578189,158,0
0.308393549317582,100,18
-0.297403352412776,180,20
-0.410983769457286,160,0
-0.97067242884472,95,0
1.58901623054271,160,14
0.771195614830676,95,15
-0.442384802213833,137,14
-0.381139439763569,137,29
-1.19896005547561,160,0
0.0816626257495257,147,13
-0.45864871486304,147,7
-0.221450780376135,160,0
0.239794582074129,137,10
0.0324409772809403,158,4
0.00683684625475188,188,7
1.52932757115528,137,11
-0.888493044556757,137,4
-0.109427066394456,137,6
0.0382378790112989,160,0
-0.509427066394456,147,0
-0.312540472520116,180,0
0.950261592992978,160,17
0.960728603911828,95,10
0.341351285136959,147,27
-0.0230074834389651,147,12
1.27119561483068,160,0
-0.951295110069852,158,25
-0.079582736700739,137,0
-0.910983769457286,147,11
-0.207870363331626,158,13
0.718860560236431,137,9
0.102596647587223,137,0
0.789016230542714,137,0
0.201039944524394,160,0
-0.242384802213833,137,8
-0.291606450682418,160,10
0.0979265383987329,160,4
-0.27067242884472,95,14
-0.26755902271906,95,12
0.269638911767846,158,1
-0.128804385169324,95,0
-0.298960055475606,158,9
-0.418337374250474,147,0
-0.139271396088173,138,12
-0.561762120988701,160,0
0.718860560236431,137,0
-0.428804385169324,180,2
0.171195614830677,137,0
0.450261592992978,90,18
0.268082208705016,160,26
-0.398960055475607,147,3
-0.190049747619588,160,4
-0.809427066394456,138,0
-0.47067242884472,158,19
-0.021450780376135,100,21
0.13088427421811,158,0
-0.67067242884472,158,13
0.148704889930148,160,9
0.039794582074129,147,13
-0.731917791294984,160,24
-0.0423848022138333,137,1
-0.0722291319075503,188,9
-0.0408280991510028,160,0
0.469638911767846,147,7
-0.248181703944192,137,3
-0.437714693025343,137,0
-0.0900497476195877,137,6
-0.578026033637908,138,17
-0.00631366026879527,180,8
-0.503630164664097,180,17
0.648704889930148,147,23
-0.47067242884472,137,20
1.61150695544324,147,0
1.36072860391183,95,0
-0.419894077313305,137,10
0.250261592992978,147,3
-0.398960055475607,158,3
0.820417263299261,160,6
-0.551295110069852,137,11
1.32041726329926,160,0
1.60995025238041,93,20
-0.57067242884472,180,1
-0.798960055475607,160,5
-0.17067242884472,160,0
0.290572933605544,147,8
-0.551295110069852,180,0
-0.179582736700739,93,16
1.35026159299298,147,4
-1.27802603363791,145,10
0.12932757115528,145,9
-0.127247682106493,145,13
