"LC.MS.run","focal_ID","Cort_pg.mg","Age","Season","Density","log_Cort_pg.mg"
"4_812","'0007B048F7",57.31,158,"Summer",252,4.04847512856365
"4_812","'0007B0CF7F",36.65,151,"Summer",252,3.60141342833266
"4_812","'0007B12005",29.77,313,"Summer",252,3.39350117502768
"4_812","'0007B0FDEB",62.37,155,"Summer",252,4.13308439053803
"4_812","'0007B04AB1",43.13,151,"Summer",252,3.76421881065975
"4_812","'0007B04DF5",45.36,170,"Summer",252,3.8146306594195
"4_812","'0007B1227C",38.48,149,"Summer",252,3.65013862579751
"4_812","'0007B048F5",54.47,150,"Summer",252,3.99765009139558
"4_812","'0007B11F77",46.58,151,"Summer",252,3.8411712644562
"4_812","'0007B0FEE1",92.75,314,"Summer",252,4.52990770148754
"4_812","'0007B0064E",55.49,512,"Summer",252,4.01620282433781
"4_812","'0007B12259",34.43,156,"Summer",252,3.53892827735043
"4_812","'00079CDA08",47.59,159,"Summer",252,3.86262265513302
"4_812","'0007B0CFAB",57.92,151,"Summer",252,4.05906274807746
"4_812","'0007B0FEE3",66.02,180,"Summer",252,4.18995772642505
"4_812","'0007B11AC4",53.66,156,"Summer",252,3.98266784499748
"4_812","'0007B11E42",40.91,156,"Summer",252,3.71137453194131
"4_812","'0007B0D1FE",78.17,217,"Summer",252,4.35888594223224
"4_812","'0007B047DD",70.67,175,"Summer",252,4.25802115470276
"4_812","'0007B12310",60.95,325,"Summer",252,4.11005385592728
"4_812","'00079A964B",67.43,497,"Summer",252,4.21109002274649
"4_812","'0007B0CE53",59.13,168,"Autumn",252,4.07973840983274
"4_812","'0007B8EE01",39.49,343,"Autumn",252,3.67604747529856
"4_812","'0007B11C10",60.95,200,"Autumn",252,4.11005385592728
"4_812","'0007B0D32F",58.73,182,"Autumn",252,4.07295066953443
"4_812","'0007B82FF6",32.6,166,"Autumn",252,3.48431228837266
"5_986","'0007B8CF97",52.52,145,"Winter",286,3.9611940494346
"5_986","'0007B11D82",64.77,553,"Spring",315,4.17084253319483
"5_986","'0007BADD0A",43.18,190,"Winter",286,3.76537742508666
"5_986","'0007BAB067",51.27,112,"Summer",315,3.93710578579561
"5_986","'0007B04AFA",49.13,268,"Summer",315,3.89446984618056
"5_986","'0007B1011C",38.95,147,"Winter",286,3.66227877231676
