"agd_tail","predicted","conf.low","conf.high"
-0.872,1.66940954565111,1.47997574762774,1.85884334367449
-0.871,1.66964888193846,1.48034011512485,1.85895764875206
-0.869,1.67012767394443,1.48106909207644,1.85918625581242
-0.868,1.67036712967617,1.48143370156304,1.8593005577893
-0.866,1.67084616062996,1.48216448961642,1.85952783164351
-0.86,1.67228420988631,1.48435979961069,1.86020862016193
-0.854,1.67372369483821,1.48660942294624,1.86083796673017
-0.853,1.67396374867801,1.48701755328848,1.86090994406755
-0.851,1.6744439761435,1.48783406554571,1.86105388674129
-0.85,1.67468414978233,1.4882494842048,1.86111881535987
-0.848,1.67516461690507,1.48911089530262,1.86121833850752
-0.842,1.67660697750769,1.49170045638616,1.86151349862921
-0.841,1.67684751089894,1.4921328521232,1.86156216967468
-0.839,1.67732869770427,1.49299792824583,1.8616594671627
-0.832,1.6790141124547,1.49611148052749,1.86191674438192
-0.83,1.67949602001008,1.49699570719429,1.86199633282587
-0.827,1.68021918194426,1.49818160780653,1.862256756082
-0.823,1.68118395925587,1.49976417147718,1.86260374703457
-0.821,1.68166658863029,1.50055603781123,1.86277713944935
-0.813,1.68359871215244,1.50372800728603,1.86346941701884
-0.811,1.68408214480363,1.50452233760728,1.86364195199998
-0.809,1.68456573826896,1.50531705853551,1.86381441800242
-0.806,1.68529143010934,1.50650987272402,1.86407298749466
-0.804,1.68577542584179,1.50730557098603,1.86424528069754
-0.799,1.68698611966213,1.50929652881358,1.86467571051068
-0.797,1.68747067912519,1.5100935973043,1.86484776094607
-0.795,1.68795539977351,1.51085015744048,1.86506064210653
-0.793,1.68844028166017,1.51159643352491,1.86528412979544
-0.792,1.68868278308448,1.51196969719156,1.8653958689774
-0.79,1.68916790692824,1.51271647586197,1.86561933799451
-0.788,1.68965319214313,1.51346358976616,1.8658427945201
-0.781,1.69135296196037,1.51608113043649,1.86662479348426
-0.774,1.69305471150545,1.51870278551249,1.86740663749841
-0.772,1.69354128960406,1.51945887895979,1.86762370024833
-0.771,1.6937846393438,1.5198543660922,1.8677149125954
-0.769,1.69427146023746,1.52064559700915,1.86789732346577
-0.759,1.69670799472253,1.52452958198756,1.8688864074575
-0.753,1.69817186134812,1.52665676235929,1.86968696033695
-0.751,1.69866014153286,1.52736647960583,1.8699538034599
-0.75,1.69890434252584,1.52772146151909,1.87008722353259
-0.748,1.69939286634642,1.52846257347191,1.87032315922092
-0.747,1.69963718918739,1.52883853941197,1.87043583896281
-0.742,1.70085941296664,1.53072140717195,1.87099741876133
-0.733,1.70306197808984,1.53413059258838,1.87199336359131
-0.732,1.70330691107417,1.53452605479388,1.87208776735446
-0.73,1.70379689923896,1.53532427510171,1.87226952337621
-0.729,1.70404195443283,1.53572352589949,1.87236038296617
-0.721,1.70600386354471,1.53892091038023,1.87308681670919
-0.713,1.7079683840884,1.5421243076459,1.87381246053089
-0.711,1.70845992266363,1.54292609766499,1.87399374766228
-0.709,1.70895162472218,1.54372826428683,1.87417498515752
-0.708,1.7091975370745,1.54412948887407,1.87426558527494
-0.701,1.71092006886602,1.54694070002173,1.8748994377103
-0.699,1.71141258914871,1.54774475207297,1.87508042622445
-0.697,1.71190527323787,1.5485491816937,1.87526136478205
-0.693,1.71289113305134,1.55015917428913,1.87562309181355
-0.692,1.71313770046803,1.55056190867113,1.87571349226493
-0.69,1.71363095830461,1.55136766105623,1.875894255553
-0.683,1.715358652975,1.55419077454726,1.87652653140275
-0.681,1.71585264945863,1.55499823053854,1.87670706837871
-0.68,1.7160997093067,1.55540210065812,1.87679731795529
-0.676,1.71708835956521,1.55702364480711,1.8771530743233
-0.674,1.71758293130884,1.5578359715359,1.87732989108179
-0.672,1.71807766753421,1.55853521760264,1.87762011746579
-0.671,1.71832509734447,1.55895928011636,1.87769091457259
-0.669,1.71882008039397,1.55986008490582,1.87778007588212
-0.668,1.71906763364676,1.560263740979,1.87787152631451
-0.662,1.72055381778264,1.5623419685329,1.87876566703238
-0.66,1.72104954203597,1.56291155269443,1.8791875313775
-0.657,1.72179343754741,1.56376521890767,1.87982165618716
