"AGD.tail","life.repro.success","Density.DOB"
-0.318337374250475,5,214
-0.26911572578189,2,147
-0.190049747619588,0,147
-0.285379638431097,10,158
-0.300516758538437,0,158
-0.428804385169324,0,137
-0.791606450682418,19,147
-0.56911572578189,0,158
0.308393549317582,18,100
-0.297403352412776,20,180
-0.410983769457286,0,160
-0.97067242884472,0,95
1.58901623054271,14,160
0.771195614830676,15,95
-0.442384802213833,14,137
-0.381139439763569,29,137
-1.19896005547561,0,160
0.0816626257495257,13,147
-0.45864871486304,7,147
-0.221450780376135,0,160
0.239794582074129,10,137
0.0324409772809403,4,158
0.00683684625475188,7,188
1.52932757115528,11,137
-0.888493044556757,4,137
-0.109427066394456,6,137
0.0382378790112989,0,160
-0.509427066394456,0,147
-0.312540472520116,0,180
0.950261592992978,17,160
0.960728603911828,10,95
0.341351285136959,27,147
-0.0230074834389651,12,147
1.27119561483068,0,160
-0.951295110069852,25,158
-0.079582736700739,0,137
-0.910983769457286,11,147
-0.207870363331626,13,158
0.718860560236431,9,137
0.102596647587223,0,137
0.789016230542714,0,137
0.201039944524394,0,160
-0.242384802213833,8,137
-0.291606450682418,10,160
0.0979265383987329,4,160
-0.27067242884472,14,95
-0.26755902271906,12,95
0.269638911767846,1,158
-0.128804385169324,0,95
-0.298960055475606,9,158
-0.418337374250474,0,147
-0.139271396088173,12,138
-0.561762120988701,0,160
0.718860560236431,0,137
-0.428804385169324,2,180
0.171195614830677,0,137
0.450261592992978,18,90
0.268082208705016,26,160
-0.398960055475607,3,147
-0.190049747619588,4,160
-0.809427066394456,0,138
-0.47067242884472,19,158
-0.021450780376135,21,100
0.13088427421811,0,158
-0.67067242884472,13,158
0.148704889930148,9,160
0.039794582074129,13,147
-0.731917791294984,24,160
-0.0423848022138333,1,137
-0.0722291319075503,9,188
-0.0408280991510028,0,160
0.469638911767846,7,147
-0.248181703944192,3,137
-0.437714693025343,0,137
-0.0900497476195877,6,137
-0.578026033637908,17,138
-0.00631366026879527,8,180
-0.503630164664097,17,180
0.648704889930148,23,147
-0.47067242884472,20,137
1.61150695544324,0,147
1.36072860391183,0,95
-0.419894077313305,10,137
0.250261592992978,3,147
-0.398960055475607,3,158
0.820417263299261,6,160
-0.551295110069852,11,137
1.32041726329926,0,160
1.60995025238041,20,93
-0.57067242884472,1,180
-0.798960055475607,5,160
-0.17067242884472,0,160
0.290572933605544,8,147
-0.551295110069852,0,180
-0.179582736700739,16,93
1.35026159299298,4,147
-1.27802603363791,10,145
0.12932757115528,9,145
-0.127247682106493,13,145
-0.0989600554756067,9,145
-0.590049747619588,9,87
0.659171900848997,10,206
-0.209427066394456,2,145
-0.240828099151003,10,214
0.432440977280941,1,214
-0.319894077313305,0,214
-0.349738407007022,3,214
0.159171900848997,8,145
0.260728603911828,0,214
-0.228804385169324,7,145
-0.293163153745248,0,145
-0.502073461601267,16,214
0.42777086809245,0,214
-0.748181703944192,1,145
0.33088427421811,6,145
0.648704889930148,0,206
-0.019894077313305,3,145
-0.449738407007022,2,145
-0.130361088232154,3,145
-0.57067242884472,1,214
-1.20787036333163,11,145
0.632440977280941,14,214
-0.449738407007022,0,180
-0.109427066394456,17,158
0.511506955443242,13,95
0.309950252380412,0,160
-0.151295110069852,0,180
-0.378026033637909,32,158
0.33088427421811,8,180
0.0533749991186386,10,180
-0.490049747619588,0,180
-0.391606450682418,5,180
-0.139271396088173,0,180
-0.495846649349946,0,138
0.0979265383987329,17,160
-0.148181703944192,0,158
-0.479582736700739,0,158
-0.260205417925871,0,180
0.160728603911827,17,158
-0.446625000881361,10,138
0.113063658506073,0,158
