"agd_tail","predicted","std.error","conf.low","conf.high","density"
-1.071,0.429655053348215,0.0960932367986389,0.384238101164496,0.47628795579668,"148.4"
-1.071,0.417330989606051,0.0801801067853503,0.379683984286641,0.455966986838807,"257.5"
-1.071,0.40510933860555,0.126191252811358,0.34715895135396,0.465830763062058,"366.6"
-1.068,0.429618575762441,0.0959075868304887,0.3842889733679,0.476160064247105,"148.4"
-1.068,0.417479540527629,0.0800067785755829,0.379907896685075,0.456034250864394,"257.5"
-1.068,0.405439691314853,0.125878296810772,0.347608737566977,0.466019189263485,"366.6"
-1.05,0.429399726312098,0.0947965953119607,0.384592910594246,0.47539420277491,"148.4"
-1.05,0.418371159693466,0.07897010777749,0.381250916793273,0.456439472561558,"257.5"
-1.05,0.407423596333161,0.124004379137202,0.350311442409517,0.467151811116572,"366.6"
-1.048,0.429375411408588,0.0946734641804879,0.384626542054355,0.475309266819082,"148.4"
