"LC.MS.run","External.ID2","BarnID","focal_ID","hairDate","Testo_pg.mg","Prog_pg.mgSE","Cort_pg.mg","AEA.pg.mg","AG2.pg.mg","OEA.ng.mg","A.ng.mg","PEA.ng.mg","AGD","weight","tail","hairDateMIN30d","DOB","sex","Age","Season","closestPopCheck_hairSampling","Density","Females.at.hairSampling","closestDateHandling","weight.at.hair"
"1_775",50,"'00079BOFBF","'00079BOFBF",2017-05-19,1,2.63,49.82,36.95,44.3,2.3,1.22,2.42,NA,NA,NA,2017-04-19,17278,"F",27,"Spring",2017-05-26,300,200,NA,NA
"1_775",51,"'00079AA055","'00079AA055",2017-05-22,1.25,3.28,26.73,46.53,45.59,3.01,1.28,2.41,"5","6.3","47",2017-04-22,17261,"M",47,"Spring",2017-05-26,300,200,NA,NA
"1_775",52,"'00079AEAFE","'00079AEAFE",2017-05-22,1.02,2.33,24.5,50,38.9,4.07,2.04,3.89,"2.8","7.5","45",2017-04-22,17251,"F",57,"Spring",2017-05-26,300,200,NA,NA
"1_775",53,"'00079B1537","'00079B1537",2017-05-22,1.06,2.61,20.86,NA,NA,NA,NA,NA,"5.2","5.9","44",2017-04-22,17261,"M",47,"Spring",2017-05-26,300,200,NA,NA
"1_775",54,"'00079A6C77","'00079A6C77",2017-05-22,0.92,3.08,50.22,20.45,19.59,2.46,2.07,2.76,"3.1","7","47",2017-04-22,17251,"F",57,"Spring",2017-05-26,300,200,NA,NA
"1_775",55,"'00079AA2B3","'00079AA2B3",2017-05-22,1.16,2.79,52.25,35.31,64.67,3.8,1.75,3.26,"4.8","5.9","49",2017-04-22,17261,"M",47,"Spring",2017-05-26,300,200,NA,NA
"1_775",56,"'000799FDA0","'000799FDA0",2017-05-26,0.98,2.45,40.1,43.91,91.69,2.79,1.1,2.41,"4.9","6.5","44",2017-04-26,17269,"M",43,"Spring",2017-05-26,300,200,NA,NA
"1_775",57,"'000799D752","'000799D752",2017-05-26,0.98,3,33.62,52.51,59.53,4.74,2.73,4.26,NA,NA,NA,2017-04-26,17278,"F",34,"Spring",2017-05-26,300,200,NA,NA
"1_775",58,"'0007998946","'0007998946",2017-05-26,1.07,2.65,45.56,50.94,64.83,3.7,1.57,3.19,"2.8","4.7","36",2017-04-26,17259,"F",53,"Spring",2017-05-26,300,200,NA,NA
"1_775",59,"'00079A1315","'00079A1315",2017-05-26,1.14,2.19,30.38,49.78,78.22,3.53,1.41,2.9,"3.2","5","36",2017-04-26,17260,"F",52,"Spring",2017-05-26,300,200,NA,NA
"1_775",60,"'000799A24F","'000799A24F",2017-05-26,0.98,2.27,43.74,45.64,74.42,3.26,1.38,2.67,"2.7","5.7","37",2017-04-26,17260,"F",52,"Spring",2017-05-26,300,200,NA,NA
"1_775",61,"'00079993ED","'00079993ED",2017-05-26,1.76,2.82,41.73,NA,NA,NA,NA,NA,"4.5","4.4","40",2017-04-26,17259,"M",53,"Spring",2017-05-26,300,200,NA,NA
"1_775",62,"'000799DBE2","'000799DBE2",2017-05-26,0.92,2.49,50.83,55.08,49.91,3.6,2.96,3.63,"2.8","6","45",2017-04-26,17251,"F",61,"Spring",2017-05-26,300,200,NA,NA
"1_775",63,"'0007999AB6","'0007999AB6",2017-05-26,0.95,2.63,38.48,49.13,72.73,2.93,1.19,2.39,NA,NA,NA,2017-04-26,17278,"F",34,"Spring",2017-05-26,300,200,NA,NA
"1_775",64,"'000799C0FC","'000799C0FC",2017-05-26,1.22,2.84,44.96,54.57,78.47,2.88,0.87,2.36,"5","6","49",2017-04-26,17267,"M",45,"Spring",2017-05-26,300,200,NA,NA
"1_775",65,"'00079984C9","'00079984C9",2017-05-26,1.06,2.69,32.81,49.23,74.97,2.78,0.82,2.25,"4.2","5.7","50",2017-04-26,17265,"M",47,"Spring",2017-05-26,300,200,NA,NA
"1_775",66,"'00079A2576","'00079A2576",2017-05-26,1.02,2.27,31.79,39.75,49.76,2.49,0.85,2.3,"2.1","5.1","38",2017-04-26,17252,"F",60,"Spring",2017-05-26,300,200,NA,NA
"1_775",67,"'000799B7B8","'000799B7B8",2017-05-26,0.89,2.88,32.4,49.25,108.35,2.83,0.88,2.44,"2.2","4.6","38",2017-04-26,17268,"F",44,"Spring",2017-05-26,300,200,NA,NA
"1_775",68,"'000799A92E","'000799A92E",2017-05-26,1.01,2.75,29.36,34.83,89.26,3.09,1.09,2.62,NA,"17.3",NA,2017-04-26,NA,"M",NA,"Spring",2017-05-26,300,200,NA,NA
"1_775",69,"'000799AB00","'000799AB00",2017-05-26,0.98,2.33,30.98,66.06,99.01,3.46,1.02,2.59,"2.6","3.7","33",2017-04-26,17270,"F",42,"Spring",2017-05-26,300,200,NA,NA
"1_775",70,"'0007998CC2","'0007998CC2",2017-05-26,1,2.63,41.31,52.52,108.16,3.24,1.62,2.86,"4.2","6.1","40",2017-04-26,17268,"M",44,"Spring",2017-05-26,300,200,NA,NA
"1_775",71,"'000799DE0C","'000799DE0C",2017-05-26,1.26,2.88,54.47,45.03,67.47,3.5,1.26,2.87,NA,NA,NA,2017-04-26,17278,"F",34,"Spring",2017-05-26,300,200,NA,NA
"1_775",72,"'000799B387","'000799B387",2017-05-26,1.29,6.89,33.21,10.98,11.56,1.01,1.59,1.96,"3.2","6.4","45",2017-04-26,16901,"F",411,"Spring",2017-05-26,300,200,NA,NA
"1_775",73,"'000799CE32","'000799CE32",2017-05-26,1.07,2.61,37.67,48.09,88.03,3.36,0.93,2.53,"4.6","7.8","45",2017-04-26,17265,"M",47,"Spring",2017-05-26,300,200,NA,NA
"1_775",74,"'0007998AED","'0007998AED",2017-05-26,1.13,2.51,45.56,48.09,80.42,3.25,1.74,2.66,"5.1","6","42",2017-04-26,17269,"M",43,"Spring",2017-05-26,300,200,NA,NA
"1_775",75,"'00079A2781","'00079A2781",2017-05-26,0.89,2,26.12,44.08,90.43,3.18,1.18,2.54,"3.2","7.6","47",2017-04-26,17272,"F",40,"Spring",2017-05-26,300,200,NA,NA
"1_775",76,"'000799A2F5","'000799A2F5",2017-05-26,1.03,2.37,39.29,57.1,76.38,6.23,4.32,6.26,"3.9","5.1","40",2017-04-26,17262,"M",50,"Spring",2017-05-26,300,200,NA,NA
"1_775",77,"'000799987B","'000799987B",2017-05-26,1.13,2.39,41.72,58.96,88.46,2.71,1.29,2.55,"4.5","6.7","4.8",2017-04-26,17268,"M",44,"Spring",2017-05-26,300,200,NA,NA
"1_775",78,"'000799FCD7","'000799FCD7",2017-05-26,0.94,2.53,45.36,43.79,80.31,3.05,1.31,2.64,"3","6.3","46",2017-04-26,17269,"F",43,"Spring",2017-05-26,300,200,NA,NA
"1_775",79,"'000799C8D0","'000799C8D0",2017-05-26,1.34,5.35,42.32,20.94,17.01,2.28,3.02,3.35,"3.2","6.1","46",2017-04-26,17030,"F",282,"Spring",2017-05-26,300,200,NA,NA
"1_775",80,"'00079A3D56","'00079A3D56",2017-05-26,1.79,3.12,53.46,53.86,67.9,3.26,1.4,2.87,"4.3","5.3","40",2017-04-26,17251,"M",61,"Spring",2017-05-26,300,200,NA,NA
"1_775",81,"'0007999885","'0007999885",2017-05-26,1.26,2.49,38.68,51.12,86.76,3.48,1.29,2.98,"4.1","5.2","39",2017-04-26,17262,"M",50,"Spring",2017-05-26,300,200,NA,NA
"1_775",82,"'000799B5AC","'000799B5AC",2017-05-26,1.11,2.53,33.82,54,73.54,3.48,1.96,3.12,NA,NA,NA,2017-04-26,17278,"F",34,"Spring",2017-05-26,300,200,NA,NA
"1_775",83,"'0007998995","'0007998995",2017-05-26,1.06,2.39,47.99,57.82,123.9,3.51,2.41,2.97,"4","4.1","36",2017-04-26,17262,"M",50,"Spring",2017-05-26,300,200,NA,NA
"1_775",84,"'000799BA78","'000799BA78",2017-05-26,1.04,2.23,42.12,49.12,97.9,4.07,2.8,3.87,NA,NA,NA,2017-04-26,17278,"F",34,"Spring",2017-05-26,300,200,NA,NA
"1_775",85,"'00079982C4","'00079982C4",2017-05-26,1.14,2.67,34.02,44.88,63.26,3.21,2.09,3.08,"4.1","5.1","41",2017-04-26,17262,"M",50,"Spring",2017-05-26,300,200,NA,NA
"1_775",86,"'000799836D","'000799836D",2017-05-26,1.52,6.54,39.89,19.03,15.81,1.81,3.44,3.07,"3.2","5.2","47",2017-04-26,17005,"F",307,"Spring",2017-05-26,300,200,NA,NA
"1_775",87,"'000799FFB5","'000799FFB5",2017-05-26,1.09,3.38,28.35,49.9,102.95,3.69,1.51,2.86,"4.1","5.1","40",2017-04-26,17269,"M",43,"Spring",2017-05-26,300,200,NA,NA
"1_775",88,"'0007999045","'0007999045",2017-05-26,1.25,3.22,39.69,12.72,7.54,1.91,1.88,2.63,"5.8","6.5","50",2017-04-26,17002,"F",310,"Spring",2017-05-26,300,200,NA,NA
"1_775",89,"'0007997B31","'0007997B31",2017-06-14,1.32,1.99,45.77,34.44,42.91,3.06,3.81,3.66,"5","5.1","42",2017-05-15,17269,"M",62,"Spring",2017-05-26,300,200,NA,NA
"1_775",90,"'00079A1B9A","'00079A1B9A",2017-06-14,0.99,2.96,35.03,39.23,43.92,3.94,3.76,3.83,"2.8","5.1","43",2017-05-15,17273,"F",58,"Spring",2017-05-26,300,200,NA,NA
"1_775",91,"'000799DE1A","'000799DE1A",2017-06-14,0.85,2.51,52.45,41.22,47.1,3.69,2.35,3.57,"3.1","6","47",2017-05-15,17254,"F",77,"Spring",2017-05-26,300,200,NA,NA
"1_775",92,"'0007997568","'0007997568",2017-06-14,0.89,2.79,42.32,36.78,31.53,5.18,5.04,5.64,"3","6.3","42",2017-05-15,17275,"F",56,"Spring",2017-05-26,300,200,NA,NA
"1_775",93,"'00079A34DF","'00079A34DF",2017-06-14,1.44,4.11,54.2,NA,NA,NA,NA,NA,"5.2","5.9","45",2017-05-15,17274,"M",57,"Spring",2017-05-26,300,200,NA,NA
"1_775",94,"'000799AC2E","'000799AC2E",2017-07-10,1.01,4.01,36.05,32.96,47.24,3.33,3.29,3.41,"3.3","6.8","43",2017-06-10,17283,"F",74,"Summer",2017-05-26,300,200,NA,NA
"1_775",95,"'000799B2DF","'000799B2DF",2017-07-10,1.12,2.61,30.38,30.72,36.19,3.08,3.05,2.83,"4.2","6.2","44",2017-06-10,17311,"M",46,"Summer",2017-05-26,300,200,NA,NA
"1_775",96,"'00079A2ADC","'00079A2ADC",2017-07-10,0.87,2.35,47.99,46.21,60.6,2.98,2.12,2.75,"2.8","6.2","36",2017-06-10,17319,"F",38,"Summer",2017-05-26,300,200,NA,NA
"1_775",97,"'00079AA370","'00079AA370",2017-08-03,1.13,3.04,27.95,37.8,40.17,3.47,1.61,3.2,"2.1","3.8","37",2017-07-04,17275,"F",106,"Summer",2017-08-09,404,259,NA,NA
"1_775",98,"'00079A8C6E","'00079A8C6E",2017-08-03,1.08,5.14,34.22,42.64,43.71,3.69,3.07,3.85,"3.1","4.3","39",2017-07-04,17263,"F",118,"Summer",2017-08-09,404,259,NA,NA
"1_775",99,"'00079A641A","'00079A641A",2017-08-03,1.08,5.75,35.64,42.15,29.65,3.79,4.04,4.11,"3.1","4.2","35",2017-07-04,17262,"F",119,"Summer",2017-08-09,404,259,NA,NA
"1_775",100,"'00079AF9D6","'00079AF9D6",2017-08-03,1.22,4.41,51.84,27.91,22.31,3.55,5.96,4.52,NA,"23.3",NA,2017-07-04,NA,"F",NA,"Summer",2017-08-09,404,259,NA,NA
"1_775",101,"'00079AF7CB","'00079AF7CB",2017-08-03,3.6,2.88,45.36,42.01,30.12,3.53,3.79,3.87,"4.4","4.9","30",2017-07-04,17274,"M",107,"Summer",2017-08-09,404,259,NA,NA
"1_775",102,"'00079AD61A","'00079AD61A",2017-08-03,4.31,4.09,34.22,23.49,18.8,3.62,3.2,4.37,"4.8","4.9","46",2017-07-04,17274,"M",107,"Summer",2017-08-09,404,259,NA,NA
"1_775",103,"'00079ABD6F","'00079ABD6F",2017-08-03,1.24,5.69,52.25,42.66,38.73,3.54,3.1,3.77,"3.5","3.1","32",2017-07-04,16983,"F",398,"Summer",2017-08-09,404,259,NA,NA
"1_775",104,"'00079A5C05","'00079A5C05",2017-08-03,1.07,4.6,68.65,48.68,48.61,4.06,3.27,4.22,"2.5","4.4","38",2017-07-04,17269,"F",112,"Summer",2017-08-09,404,259,NA,NA
"1_775",105,"'00079AC9EB","'00079AC9EB",2017-08-03,1.28,2.67,28.35,55.11,81.94,3.83,2.92,3.59,"4.3","5.1","25",2017-07-04,17336,"M",45,"Summer",2017-08-09,404,259,NA,NA
"1_775",106,"'00079B0312","'00079B0312",2017-08-03,1.09,3.34,38.07,29.75,27.79,2.86,1.33,2.99,NA,NA,NA,2017-07-04,17278,"F",103,"Summer",2017-08-09,404,259,NA,NA
"1_775",107,"'00079A4F8D","'00079A4F8D",2017-08-03,3.34,2.81,27.74,22.51,14.14,2.78,2.54,3.28,"4.1","4.4","34",2017-07-04,17273,"M",108,"Summer",2017-08-09,404,259,NA,NA
"1_775",108,"'00079AC474","'00079AC474",2017-08-07,1.4,3.95,65.21,26.17,16.11,3.31,5.88,4.4,"2.2999999999999998","4.5","40",2017-07-08,17269,"F",116,"Summer",2017-08-09,404,259,NA,NA
"1_775",109,"'00079AE579","'00079AE579",2017-08-07,3.02,3.28,51.44,40.74,23.96,3.47,2.99,3.81,"5.3","6.4","45",2017-07-08,17284,"M",101,"Summer",2017-08-09,404,259,NA,NA
"1_775",110,"'00079AA5B1","'00079AA5B1",2017-08-07,1.04,2.41,22.88,42.29,79.33,3.22,1.79,3.01,"4.4","5.5","42",2017-07-08,17320,"M",65,"Summer",2017-08-09,404,259,NA,NA
"1_775",111,"'00079ADA65","'00079ADA65",2017-08-07,3.6,4.66,54.27,31.62,19.57,3.33,4.28,4.1,"5.4","5.4","45",2017-07-08,17274,"M",111,"Summer",2017-08-09,404,259,NA,NA
"1_775",112,"'00079A44D8","'00079A44D8",2017-08-07,1.15,3.42,62.78,28.91,20.18,3.26,4.62,3.99,"4.1","6.2","48",2017-07-08,17312,"F",73,"Summer",2017-08-09,404,259,NA,NA
"1_775",113,"'00079A5EAE","'00079A5EAE",2017-08-07,1.23,3.48,44.75,33.46,25.15,3.19,3.14,3.67,"3.2","5.7","42",2017-07-08,17308,"F",77,"Summer",2017-08-09,404,259,NA,NA
"1_775",114,"'00079AA11B","'00079AA11B",2017-08-07,3.48,2.69,47.18,34.55,18,3.56,4.12,3.92,"4.6","5.2","41",2017-07-08,17272,"M",113,"Summer",2017-08-09,404,259,NA,NA
"1_775",115,"'00079A939D","'00079A939D",2017-08-07,1.06,7.49,35.84,25.67,34.77,3.89,3.86,4.02,NA,NA,NA,2017-07-08,NA,NA,NA,"Summer",2017-08-09,404,259,NA,NA
"1_775",116,"'00079A964B","'00079A964B",2017-08-07,1.15,3.1,43.54,31.7,33.22,3.43,3.13,3.54,"3","5.7","36",2017-07-08,17298,"F",87,"Summer",2017-08-09,404,259,NA,NA
"1_775",117,"'00079AE5EF","'00079AE5EF",2017-08-07,1.37,2.77,34.83,29.6,29.4,3.37,2.87,3.41,NA,NA,NA,2017-07-08,17278,"F",107,"Summer",2017-08-09,404,259,NA,NA
"1_775",118,"'00079A5533","'00079A5533",2017-08-07,2.39,4.07,55.69,19.3,11.11,2.94,3.98,3.86,NA,"14",NA,2017-07-08,NA,"M",NA,"Summer",2017-08-09,404,259,NA,NA
"1_775",119,"'000799DB76","'000799DB76",2017-08-07,0.99,2.67,39.08,29.91,28.52,2.93,2.14,3.14,NA,NA,NA,2017-07-08,17278,"F",107,"Summer",2017-08-09,404,259,NA,NA
"1_775",120,"'00079B0ADF","'00079B0ADF",2017-08-07,3.97,4.31,55.69,24.47,7.95,3.71,4.67,4.52,"5","5.4","46",2017-07-08,17274,"M",111,"Summer",2017-08-09,404,259,NA,NA
"1_775",121,"'00079A6412","'00079A6412",2017-08-07,1.22,3.4,36.05,25.26,18.37,3.34,3.25,3.52,"3.1","6.8","46",2017-07-08,17308,"F",77,"Summer",2017-08-09,404,259,NA,NA
"1_775",122,"'00079AAA58","'00079AAA58",2017-08-07,1.32,2.43,58.32,30.63,35.77,2.68,1.85,2.73,"5.1","4.9","42",2017-07-08,17311,"M",74,"Summer",2017-08-09,404,259,NA,NA
