"x","predicted","std.error","conf.low","conf.high","group"
360,-0.135172653367741,0.0181516389003901,-0.170760565093139,-0.0995847416423437,"spring"
360,-0.0407582638854017,0.018080554192413,-0.0762068076822943,-0.00530972008850909,"summer"
360,-0.0506738184249047,0.0420870389378103,-0.133189222941351,0.0318415860915419,"winter"
380,-0.0595950247710137,0.0286900705150261,-0.115844474337919,-0.00334557520410808,"autumn"
380,-0.150676690661858,0.0193010440132135,-0.188518113925048,-0.112835267398667,"spring"
380,-0.0562623011795182,0.0189273735350284,-0.0933711100454623,-0.019153492313574,"summer"
380,-0.0661778557190211,0.0426127965938549,-0.149724055149081,0.0173683437110385,"winter"
400,-0.0750990620651302,0.0293219012380443,-0.13258727228167,-0.0176108518485908,"autumn"
400,-0.166180727955974,0.0205690397887656,-0.206508170359153,-0.125853285552796,"spring"
400,-0.0717663384736346,0.0199271495845786,-0.110835297714529,-0.0326973792327403,"summer"
400,-0.0816818930131376,0.0432190792723272,-0.16641676386623,0.00305297783995521,"winter"
420,-0.0906030993592467,0.0300655023385947,-0.149549206048414,-0.0316569926700793,"autumn"
420,-0.181684765250091,0.0219350698258658,-0.224690431732171,-0.13867909876801,"spring"
420,-0.0872703757677511,0.0210581078162265,-0.128556679785823,-0.045984071749679,"summer"
420,-0.0971859303072541,0.0439025510118504,-0.183260808642119,-0.0111110519723888,"winter"
440,-0.106107136653363,0.0309128090301162,-0.166714463902706,-0.0454998094040205,"autumn"
440,-0.197188802544207,0.0233819582435126,-0.243031223193021,-0.151346381895393,"spring"
440,-0.102774413061868,0.022300298465165,-0.146496142960937,-0.0590526831627977,"summer"
440,-0.112689967601371,0.0446596680479213,-0.20024924160945,-0.0251306935932911,"winter"
460,-0.12161117394748,0.0318555471777647,-0.184066823663063,-0.0591555242318963,"autumn"
460,-0.212692839838324,0.024895610997505,-0.261502912107335,-0.163882767569312,"spring"
460,-0.118278450355984,0.0236361907056325,-0.164619316487837,-0.0719375842241314,"summer"
460,-0.128194004895487,0.0454867530997199,-0.217374853130243,-0.0390131566607313,"winter"
480,-0.137115211241596,0.0328855105245323,-0.201590196228573,-0.0726402262546191,"autumn"
480,-0.22819687713244,0.0264645747212909,-0.280083043125487,-0.176310711139393,"spring"
480,-0.133782487650101,0.025050798452596,-0.182896818806311,-0.0846681564938904,"summer"
480,-0.143698042189603,0.0463800631474475,-0.234630304679369,-0.0527657796998377,"winter"
500,-0.152619248535713,0.0339947718263474,-0.219269039528143,-0.0859694575432818,"autumn"
500,-0.243700914426556,0.0280795793419427,-0.298753441440295,-0.188648387412818,"spring"
500,-0.149286524944217,0.0265315338371929,-0.201303970273472,-0.0972690796149623,"summer"
500,-0.15920207948372,0.0473358489959726,-0.25200824562441,-0.0663959133430302,"winter"
520,-0.168123285829829,0.0351758299574252,-0.237088646933698,-0.0991579247259603,"autumn"
520,-0.259204951720673,0.0297331234394251,-0.317499399846779,-0.200910503594567,"spring"
520,-0.164790562238333,0.0280679330375004,-0.219820255630453,-0.109760868846214,"summer"
520,-0.174706116777836,0.0483504057416253,-0.269501412170316,-0.0799108213853567,"winter"
