"LC.MS.run","External_ID2","focal_ID","Cort_pg.mg","Age","Season","Density"
"1_775",186,"'0007B0DF65",36.61,239,"Winter",407
"1_775",187,"'0007B0DF65",36.61,239,"Winter",407
"1_775",188,"'0007B0DF65",36.61,239,"Winter",407
"1_775",190,"'0007B0DF65",36.61,239,"Winter",407
"1_775",192,"'0007B0DF65",36.61,239,"Winter",407
"1_775",193,"'0007B0DF65",36.61,239,"Winter",407
"1_775",194,"'0007B0DF65",36.61,239,"Winter",407
"1_775",195,"'0007B0DF65",36.61,239,"Winter",407
"1_775",197,"'0007B0DF65",36.61,239,"Winter",407
"1_775",201,"'0007B0DF65",36.61,239,"Winter",407
"1_775",206,"'0007B0DF65",36.61,239,"Winter",407
"1_775",207,"'0007B0DF65",36.61,239,"Winter",407
"1_775",208,"'0007B0DF65",36.61,239,"Winter",407
"1_775",209,"'0007B0DF65",36.61,239,"Winter",407
"1_775",212,"'0007B0DF65",36.61,239,"Winter",407
"1_775",213,"'0007B0DF65",36.61,239,"Winter",407
"1_775",215,"'0007B0DF65",36.61,239,"Winter",407
"1_775",1,"'000783B8AF",40.3,258,"Winter",407
"1_775",5,"'000783B8AF",40.3,258,"Winter",407
"1_775",6,"'000783B8AF",40.3,258,"Winter",407
"1_775",7,"'000783B8AF",40.3,258,"Winter",407
"1_775",9,"'000783B8AF",40.3,258,"Winter",407
"1_775",11,"'000783B8AF",40.3,258,"Winter",407
"1_775",18,"'000783B8AF",40.3,258,"Winter",407
"1_775",19,"'000783B8AF",40.3,258,"Winter",407
"1_775",20,"'000783B8AF",40.3,258,"Winter",407
"1_775",21,"'000783B8AF",40.3,258,"Winter",407
"1_775",22,"'000783B8AF",40.3,258,"Winter",407
"1_775",24,"'000783B8AF",40.3,258,"Winter",407
"1_775",26,"'000783B8AF",40.3,258,"Winter",407
"1_775",28,"'000783B8AF",40.3,258,"Winter",407
"1_775",30,"'000783B8AF",40.3,258,"Winter",407
"1_775",31,"'000783B8AF",40.3,258,"Winter",407
"1_775",32,"'000783B8AF",40.3,258,"Winter",407
"1_775",35,"'000783B8AF",40.3,258,"Winter",407
"1_775",37,"'000783B8AF",40.3,258,"Winter",407
"1_775",39,"'000783B8AF",40.3,258,"Winter",407
"1_775",40,"'000783B8AF",40.3,258,"Winter",407
"1_775",42,"'000783B8AF",40.3,258,"Winter",407
"1_775",46,"'000783B8AF",40.3,258,"Winter",407
"1_775",47,"'000783B8AF",40.3,258,"Winter",407
"1_775",50,"'000783B8AF",40.3,258,"Winter",407
"1_775",52,"'000783B8AF",40.3,258,"Winter",407
"1_775",54,"'000783B8AF",40.3,258,"Winter",407
"1_775",57,"'000783B8AF",40.3,258,"Winter",407
"1_775",58,"'000783B8AF",40.3,258,"Winter",407
"1_775",59,"'000783B8AF",40.3,258,"Winter",407
"1_775",60,"'000783B8AF",40.3,258,"Winter",407
"1_775",62,"'000783B8AF",40.3,258,"Winter",407
"1_775",63,"'000783B8AF",40.3,258,"Winter",407
"1_775",66,"'000783B8AF",40.3,258,"Winter",407
"1_775",67,"'000783B8AF",40.3,258,"Winter",407
"1_775",69,"'000783B8AF",40.3,258,"Winter",407
"1_775",71,"'000783B8AF",40.3,258,"Winter",407
"1_775",72,"'000783B8AF",40.3,258,"Winter",407
"1_775",75,"'000783B8AF",40.3,258,"Winter",407
"1_775",78,"'000783B8AF",40.3,258,"Winter",407
"1_775",79,"'000783B8AF",40.3,258,"Winter",407
"1_775",82,"'000783B8AF",40.3,258,"Winter",407
"1_775",84,"'000783B8AF",40.3,258,"Winter",407
"1_775",86,"'000783B8AF",40.3,258,"Winter",407
"1_775",88,"'000783B8AF",40.3,258,"Winter",407
"1_775",90,"'000783B8AF",40.3,258,"Winter",407
"1_775",91,"'000783B8AF",40.3,258,"Winter",407
"1_775",92,"'000783B8AF",40.3,258,"Winter",407
"1_775",94,"'000783B8AF",40.3,258,"Winter",407
"1_775",96,"'000783B8AF",40.3,258,"Winter",407
"1_775",97,"'000783B8AF",40.3,258,"Winter",407
"1_775",98,"'000783B8AF",40.3,258,"Winter",407
"1_775",99,"'000783B8AF",40.3,258,"Winter",407
"1_775",100,"'000783B8AF",40.3,258,"Winter",407
"1_775",103,"'000783B8AF",40.3,258,"Winter",407
"1_775",104,"'000783B8AF",40.3,258,"Winter",407
"1_775",106,"'000783B8AF",40.3,258,"Winter",407
