"focal_ID","motherTesto","AGD.tail"
"'0007BADB5A",0.93,-0.130361088232154
"'0007BADD77",0.97,-0.230361088232154
"'0007BAE070",1.75,0.209950252380412
"'0007BAE16D",0.64,-0.509427066394456
"'0007BAEE69",0.13,-0.128804385169324
"'0007BAF08B",1.27,0.0293275711552803
"'0007BAF3C8",0.76,-0.0303610882321537
"'0007BAF5CB",0.82,-0.207870363331626
"'0007BC429C",0.35,0.0487048899301481
"'A000133921",0.53,-0.00942706639445581
"'P000128654",1.29,-0.110983769457286
"'P000129504",1.08,0.0471481868673176
"'P000129510",1.08,-0.0528518131326821
"'P000130264",1.35,-0.352851813132682
"'P000130507",2.92,0.605280143191922
"'P000131129",0.94,-0.210983769457286
"'P000131173",1.32,-0.391606450682418
"'P000131202",0.25,-0.112540472520116
"'P000131260",0.45,-0.0722291319075503
"'P000131261",0.45,-0.37222913190755
"'P000131272",1.65,-0.290049747619588
"'P000131369",0.49,0.12621416502962
"'P000131382",1.55,-0.433474494357814
"'P000131389",0.37,-0.233474494357814
"'P000131393",0.93,-0.130361088232154
"'P000131395",0.93,-0.291606450682418
"'P000131821",0.55,-0.212540472520116
"'P000131823",0.55,-0.27067242884472
"'P000131847",1.19,0.0680822087050159
"'P000131889",0.91,-0.37222913190755
"'P000131940",0.49,-0.554408516195513
"'P000132595",0.98,-0.731917791294984
"'P000132728",0.56,-0.428804385169324
"'P000132749",1.16,-0.449738407007022
"'P000132753",1.24,-0.690049747619588
"'P000132833",0.53,-0.309427066394456
"'P000132901",0.72,-0.335031197420644
"'P000133001",0.54,-0.37222913190755
"'P000133003",0.54,-0.0916064506824181
"'P000133145",0.63,0.269638911767846
"'P000133148",0.63,0.408393549317582
"'P000133154",0.6,-0.16911572578189
"'P000133498",0.72,-0.0691157257818898
"'P000133499",0.72,-0.190049747619588
"'P000133501",0.72,-0.0288043851693236
"'P000133526",0.66,0.0874595274798837
"'P000133528",0.66,-0.0528518131326821
"'P000133599",0.72,0.0471481868673176
"'P000134819",1.3,-0.451295110069852
"'P000134934",1.2,-0.049738407007022
"'P000134935",1.2,-0.230361088232154
"'P000134962",0.65,-0.251295110069852
"'P000135102",0.81,-0.431917791294984
"'P000135610",1.22,-0.149738407007022
"'P000135897",0.64,-0.248181703944192
"'P000135903",0.64,-0.109427066394456
"'P000136036",0.5,-0.190049747619588
"'P000136102",1.08,-0.26911572578189
"'P000136119",0.24,-0.17067242884472
"'P000136121",0.24,-0.510983769457286
"'P000136200",0.77,-0.349738407007022
"'P000136657",0.76,-0.212540472520116
"'P000136670",0.99,-0.351295110069852
"'P000136672",0.99,0.12777086809245
"'P000137345",1.32,-0.351295110069852
"'P000137423",1.01,-0.291606450682418
"'P000137427",1.01,0.0680822087050159
"'P000139299",1.18,-0.0156538786457763
"'P000139302",1.78,-0.0528518131326821
"'P000139329",0.42,-0.0947198568080785
"'P000139387",0.45,-0.349738407007022
"'P000139389",0.45,-0.191606450682418
"'P000139395",1.25,0.0293275711552803
"'P000140724",0.62,-0.451295110069852
"'P000141172",0.75,0.147148186867318
"'P000141255",0.55,0.405280143191921
