focal_ID,Seq
'000728FE92,552
'000729000A,553
'0007290143,554
'000729014B,555
'00072902A4,556
'000729053D,557
'0007290545,558
'000729067F,559
'00072907C5,560
'0007290B85,561
'0007290DCA,562
'0007290EE2,563
'000729110E,564
'00072911A2,565
'0007291321,566
'00074BCD8F,567
'00074BD016,568
'00074BD194,569
'00074BD2CD,570
'00074BD498,571
'00074BDDF4,572
'00074BE3D1,573
'00074BE863,574
'00074BEB7B,575
'00074BEE83,576
'00074BEF96,577
'00074BF097,578
'00074BF1B8,579
'00074BF5F8,580
'00074BFD32,581
'00074BFEF3,582
'00074C0F48,583
'00074C10B5,584
'00074C19E9,585
'00074C2119,586
'00074C21BE,587
'00074C2862,588
'00074C2AC6,589
'00074C2C8A,590
'00074C32F3,591
'00074C38CD,592
'00074C396C,593
'00074C39B8,594
'00074C3A83,595
'00074C3AE5,596
'00074D84FC,597
'00074D8536,598
'00074D8543,599
'00074D87AE,600
'00074D8813,601
'00074D89D2,602
'00074D89DA,603
'00074D8AC4,604
'00074D8AD8,605
'00074D8B38,606
'00074D8C29,607
'00074D8C33,608
'00074D8EBD,609
'00074D9053,610
'00074D9177,611
'00074D9179,612
'00074D929E,613
'00074D92A8,614
'00074D93C3,615
'00074D945B,616
'00074D94F4,617
'00074D9505,618
'00074D95F5,619
'00074D9770,620
'00074D9775,621
'00074D9776,622
'00074D992E,623
'00074D9953,624
'00074D99F3,625
'00074D9A99,626
'00074D9B5A,627
'00074D9BE7,628
'00074D9D25,629
'00074D9DB6,630
'00074D9F25,631
'00074DA082,632
'00074DA136,633
'00074DA1DC,634
'00074DA29A,635
'00074DA4AC,636
'00074DA4B8,637
'00074DA5B2,638
'00074DA66C,639
'00074DA829,640
'00074DA82B,641
'00074DA8B1,642
'00074DA993,643
'00074DAAF6,644
'00074DAB52,645
'00074DAB5F,646
'00074DAD20,647
'00074DAE90,648
'00074DB098,649
'00074DB220,650
'00074DB231,651
'00074DB39E,652
'00074DB3A3,653
'00074DB3F6,654
'00074DB44D,655
'00074DB518,656
'00074DB5AB,657
'00074DB5D6,658
'00074DB688,659
'00074DB6DE,660
'00074DB8A6,661
'00074DB959,662
'00074DB979,663
'00074DBA19,664
'00074DBA1A,665
'00074DBBF9,666
'00074DBCF1,667
'00074DBE5F,668
'00074DBF6D,669
'00074DC3F8,670
