"agd_tail","density","predicted","conf.low","conf.high"
-1.03,"148.4",2.2462295516512,1.80816849999175,2.68429060331065
-1.03,"257.5",1.66012481864764,1.40666209838086,1.91358753891442
-1.03,"366.6",1.22665341687963,0.915685913807916,1.53762091995135
-1.029,"148.4",2.24628989653509,1.80857246109416,2.68400733197603
-1.029,"257.5",1.66032588346118,1.40708571000712,1.91356605691524
-1.029,"366.6",1.22694303811999,0.916164505126727,1.53772157111325
-1.026,"148.4",2.24647093231143,1.80978448766018,2.68315737696268
-1.026,"257.5",1.66092917706298,1.40831488039484,1.91354347373111
-1.026,"366.6",1.2278121084727,0.91761783632771,1.53800638061768
-1.02,"148.4",2.24683300890687,1.81220918597541,2.68145683183833
-1.02,"257.5",1.66213621044992,1.41057965506787,1.91369276583197
-1.02,"366.6",1.22955117764004,0.920750002906181,1.53835235237389
