"Season.DOB","Density.DOB","AGD.weight"
"autumn",147,1.80956243426362
"summer",95,1.04956603790233
"summer",137,-0.298439487677028
"summer",158,-0.194438526706705
"summer",160,0.71356339523394
"summer",137,-0.866437805978963
"summer",160,1.045565076932
"winter",93,1.00556747935781
"spring",180,-0.286442610830576
"summer",160,-0.666437805978963
"autumn",160,-0.222439247434447
"autumn",147,0.261562914748779
"spring",180,-0.506441409617673
"winter",93,-0.0944385267067051
"autumn",147,1.52556027208039
"spring",145,-0.798439487677028
"spring",145,0.19755955135265
"spring",145,-0.0864366047660603
"spring",87,-0.546439007191866
"summer",206,0.769558830624908
"spring",145,-0.022439247434447
"summer",214,-0.490437565736383
"summer",214,0.32956723911523
"summer",214,-0.390437565736383
"summer",214,-0.10244044864735
"spring",145,0.221559311110069
"spring",214,-0.0984334816125121
"spring",145,0.149560031837811
"spring",145,-0.390443571800898
"spring",145,0.649560031837811
"spring",145,-0.506435403553157
"spring",214,-0.430441169375092
"summer",214,0.841564115961682
"spring",180,-0.370438766949286
"spring",95,0.661562914748778
"autumn",160,0.377560752565553
"spring",180,-0.058441890102834
"summer",158,-0.21043636452348
"spring",180,0.481561713535875
"spring",180,-0.0624308389441254
"spring",180,-0.182441649860254
"spring",180,-0.646439007191866
"spring",180,-0.162436845008641
"summer",138,-0.222433241369931
"autumn",160,0.0895576294120049
"summer",158,0.037563154991359
"spring",158,-0.250439968162189
"spring",180,-0.0784406888899308
"spring",158,0.353560992808134
"summer",138,0.133562194021037
"summer",158,0.417564356204262
"spring",180,0.205561473293295
"autumn",137,0.521559311110069
"summer",158,-0.354434923067996
"winter",188,-1.55043996816219
"summer",138,-0.982435643795738
"summer",137,0.849560031837811
"summer",138,-0.258435884038319
"spring",180,0.189563635476521
"autumn",160,1.07355979159523
"summer",158,-0.918432280399609
"autumn",160,-0.866443812043479
"summer",158,-0.0904375657363828
"summer",158,0.593564596446843
"summer",158,-0.294438526706705
"summer",160,-0.022439247434447
"spring",158,-0.566437805978964
"autumn",147,-0.398433481612512
"autumn",137,0.325560272080392
"spring",158,-0.642438046221544
"summer",138,0.0295612330507141
"spring",180,-0.18643660476606
"summer",160,-0.274439727919608
"spring",95,1.42155931111007
"spring",180,0.0615629147487786
"spring",158,0.393558590382327
"autumn",150,-0.0744337218550924
"spring",180,-0.426440208404769
"summer",138,-0.458441890102834
"autumn",137,-0.398439487677028
"summer",158,0.0535609928081334
"summer",138,-0.32644020840477
"summer",176,-0.418438286464125
"spring",145,0.633562194021037
"summer",163,-0.0744397279196083
"summer",176,0.00156051232297252
"spring",145,-0.382435643795738
"spring",87,-0.570444773013801
"summer",176,0.149560031837811
"spring",155,-1.11843828646412
"spring",145,0.241564115961681
"summer",163,0.0975595513526499
"autumn",181,-0.550439968162189
"summer",176,0.893564596446843
"summer",176,-0.814437325493802
"spring",145,-0.390437565736383
"spring",87,0.581561713535875
"summer",176,-0.426440208404769
"spring",87,-0.294438526706705
"summer",163,0.721559311110069
"spring",163,0.301566518387487
"summer",176,0.177560752565553
"summer",163,-0.666437805978963
"summer",176,-1.12644020840477
"spring",145,0.0895636354765206
"summer",163,-0.00244044864735018
"summer",176,0.0655638757191011
"summer",163,-0.242438046221544
"summer",176,-0.238437085251221
"spring",87,-0.154434923067996
"summer",163,0.11356339523394
"spring",87,0.329561233050714
"summer",176,0.0575619537784559
"summer",176,-0.32644020840477
"summer",163,-0.430441169375092
"summer",163,0.101560512322972
"autumn",181,-0.894438526706705
"summer",176,-0.218438286464124
"autumn",181,-0.20244044864735
"autumn",160,-0.322439247434447
"summer",176,0.233562194021037
"summer",176,-0.466437805978963
"summer",163,0.573559791595231
"summer",163,-0.318438286464125
"spring",145,-0.338437085251221
"summer",163,-0.0944385267067051
"summer",176,-0.414437325493802
"summer",176,-0.48643660476606
"spring",145,0.689563635476521
"summer",176,-0.10244044864735
"spring",87,0.161562914748779
"spring",87,-0.126434202340254
"summer",176,-0.282435643795738
"summer",163,0.457561953778456
"summer",176,0.329561233050714
"summer",163,-0.194438526706705
"autumn",181,0.689557629412005
"autumn",181,0.313557389169424
"spring",145,-0.682435643795738
"spring",145,-0.166437805978963
"summer",163,0.69755955135265
"summer",176,0.145565076932004
"autumn",181,-0.422439247434447
"spring",87,-0.618438286464124
"summer",176,0.0815617135358754
"spring",145,-0.518438286464125
"spring",145,-0.466437805978963
"summer",176,-0.342438046221544
"spring",87,0.245559070867488
"summer",163,0.281561713535876
"spring",145,-0.28643660476606
"spring",145,0.445559070867489
"summer",176,-0.22644020840477
"summer",163,-0.766437805978963
"summer",163,-0.210442370587995
"summer",163,-0.27043276088477
"summer",163,-0.602434442582835
"spring",87,0.333562194021037
"spring",145,0.605567479357811
"spring",155,-0.274439727919608
"autumn",181,-0.198439487677028
"spring",214,0.721553305045554
"summer",214,-0.0104423705879952
"summer",206,0.841558109897166
"summer",206,-0.50244044864735
"spring",145,-0.138437085251222
"summer",206,-0.574433721855092
"spring",145,-0.00643540355315704
"summer",206,-0.0944385267067051
